,cos,sin
0,0.94139683,0.33730108
1,0.7614175,0.6482618
2,0.58482397,0.81116027
3,0.6523456,0.75792164
4,0.66528654,0.7465881
5,0.55657554,0.830797
6,0.63921165,0.76903087
7,0.6258885,0.77991253
8,0.96689296,0.25518242
9,0.87812364,0.47843382
10,0.66528654,0.7465881
11,0.94139683,0.33730108
12,0.86114675,0.50835645
13,0.9905454,0.13718541
14,0.92274404,0.38541335
15,0.92923725,0.36948368
16,0.63921165,0.76903087
17,0.6523456,0.75792164
18,0.86976385,0.49346814
19,0.6258885,0.77991253
20,0.988039,0.15420404
21,0.97113943,0.23851258
22,0.58482397,0.81116027
23,0.55657554,0.830797
24,0.58482397,0.81116027
25,0.6523456,0.75792164
26,0.9852403,0.17117706
27,0.988039,0.15420404
28,0.94139683,0.33730108
29,0.93545544,0.35344467
30,0.87812364,0.47843382
31,0.63921165,0.76903087
32,0.6258885,0.77991253
33,0.92274404,0.38541335
34,0.86976385,0.49346814
35,0.97113943,0.23851258
36,0.92923725,0.36948368
37,0.86114675,0.50835645
38,0.66528654,0.7465881
39,0.93545544,0.35344467
40,0.86114675,0.50835645
41,0.9905454,0.13718541
42,0.94139683,0.33730108
43,0.96689296,0.25518242
44,0.97113943,0.23851258
45,0.6258885,0.77991253
46,0.9852403,0.17117706
47,0.92923725,0.36948368
48,0.5422022,0.84024805
49,0.63921165,0.76903087
50,0.9159778,0.401229
51,0.92274404,0.38541335
52,0.66528654,0.7465881
53,0.7614175,0.6482618
54,0.988039,0.15420404
55,0.87812364,0.47843382
56,0.6523456,0.75792164
57,0.9750985,0.22177216
58,0.58482397,0.81116027
59,0.55657554,0.830797
60,0.94139683,0.33730108
61,0.63921165,0.76903087
62,0.9159778,0.401229
63,0.7614175,0.6482618
64,0.6523456,0.75792164
65,0.92923725,0.36948368
66,0.988039,0.15420404
67,0.87812364,0.47843382
68,0.92274404,0.38541335
69,0.58482397,0.81116027
70,0.9852403,0.17117706
71,0.93545544,0.35344467
72,0.9905454,0.13718541
73,0.97113943,0.23851258
74,0.86976385,0.49346814
75,0.66528654,0.7465881
76,0.86114675,0.50835645
77,0.9750985,0.22177216
78,0.55657554,0.830797
79,0.9750985,0.22177216
80,0.92923725,0.36948368
81,0.55657554,0.830797
82,0.58482397,0.81116027
83,0.94139683,0.33730108
84,0.63921165,0.76903087
85,0.92274404,0.38541335
86,0.6258885,0.77991253
87,0.9905454,0.13718541
88,0.87812364,0.47843382
89,0.93545544,0.35344467
90,0.9159778,0.401229
91,0.86976385,0.49346814
92,0.988039,0.15420404
93,0.97113943,0.23851258
94,0.96689296,0.25518242
95,0.6523456,0.75792164
96,0.66528654,0.7465881
97,0.86114675,0.50835645
98,0.9750985,0.22177216
99,0.66528654,0.7465881
100,0.58482397,0.81116027
101,0.92923725,0.36948368
102,0.9905454,0.13718541
103,0.63921165,0.76903087
104,0.6523456,0.75792164
105,0.86114675,0.50835645
106,0.86976385,0.49346814
107,0.96689296,0.25518242
108,0.9159778,0.401229
109,0.92274404,0.38541335
110,0.93545544,0.35344467
111,0.55657554,0.830797
112,0.7614175,0.6482618
113,0.6258885,0.77991253
114,0.87812364,0.47843382
115,0.93545544,0.35344467
116,0.6523456,0.75792164
117,0.58482397,0.81116027
118,0.55657554,0.830797
119,0.87812364,0.47843382
120,0.92923725,0.36948368
121,0.92274404,0.38541335
122,0.9852403,0.17117706
123,0.97113943,0.23851258
124,0.988039,0.15420404
125,0.6780306,0.7350337
126,0.94139683,0.33730108
127,0.66528654,0.7465881
128,0.92923725,0.36948368
129,0.9852403,0.17117706
130,0.63921165,0.76903087
131,0.5422022,0.84024805
132,0.9750985,0.22177216
133,0.9159778,0.401229
134,0.92274404,0.38541335
135,0.96689296,0.25518242
136,0.86976385,0.49346814
137,0.7614175,0.6482618
138,0.93545544,0.35344467
139,0.6258885,0.77991253
140,0.87812364,0.47843382
